logEC50,smile,Cation,Anion
4.6,C[N+]1(CCCO)CCCC1.[Cl-],C[N+]1(CCCO)CCCC1,[Cl-]
3.69,CCOCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.9,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,CCCC[N+]1(C)CCCC1,F[B-](F)(F)F
1.47,CCCCCCCC[n+]1cccc(C)c1.[Cl-],CCCCCCCC[n+]1cccc(C)c1,[Cl-]
3.9190151685,CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
3.83,CC[N+](C)(C)CCCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CCCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.04,CCC[NH+]1CCC(C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[NH+]1CCC(C)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.4183202535,CCCCn1cc[n+](C)c1.N#C[S-],CCCCn1cc[n+](C)c1,N#C[S-]
3.81,COCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.64,CCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.16,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-]
0.28,C[NH+](C)CCCCCCCCCCCCCc1ccccc1.[Cl-],C[NH+](C)CCCCCCCCCCCCCc1ccccc1,[Cl-]
1.4,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
3.1434829736666665,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)F
3.260035694,CCCC(=O)[O-].[NH3+]CCCO,[NH3+]CCCO,CCCC(=O)[O-]
1.93,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
3.94,C[n+]1cc[nH]c1.[Cl-],C[n+]1cc[nH]c1,[Cl-]
1.445,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-]
1.28,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],CCCCCCCCCCCCCCCC[n+]1ccccc1,[Cl-]
1.55,CCCCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCCCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.01,CCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F,CCCC[n+]1ccn(CC)c1,O=C([O-])C(F)(F)F
1.98,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1,CCCCCCCCOS(=O)(=O)[O-]
2.7,CCCCn1cc[n+](C)c1.CCOS(=O)(=O)[O-],CCCCn1cc[n+](C)c1,CCOS(=O)(=O)[O-]
3.211093802,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],CCCCn1cc[n+](C)c1,COS(=O)(=O)[O-]
0.93,CC[n+]1ccc(N(C)C)cc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CC[n+]1ccc(N(C)C)cc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.87328609325,CCOCn1cc[n+](C)c1.[Cl-],CCOCn1cc[n+](C)c1,[Cl-]
4.24,CCn1cc[n+](C)c1.COS(=O)(=O)[O-],CCn1cc[n+](C)c1,COS(=O)(=O)[O-]
4.76,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,Cn1cc[n+](C)c1,COS(=O)(=O)[O-]
3.9001835645,C[n+]1ccn(CC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CC#N)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.85,CCCCCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.06,COCCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,COCCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.47,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F
4.79,COCCCn1cc[n+](C)c1.[Cl-],COCCCn1cc[n+](C)c1,[Cl-]
1.08,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
2.34,C[N+]1(CCO)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.381851417048372,CCCC[n+]1cc(C)cc(C)c1.N#CN=C=[N-],CCCC[n+]1cc(C)cc(C)c1,N#CN=C=[N-]
2.55,CCOCC[N+]1(C)CCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.79,N#CC[n+]1ccccc1.[Cl-],N#CC[n+]1ccccc1,[Cl-]
2.357934847,C[n+]1ccn(CCCCCCCCO)c1.[Br-],C[n+]1ccn(CCCCCCCCO)c1,[Br-]
1.17,CC[N+](CC)(CC)CC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CC[N+](CC)(CC)CC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
3.505,N#CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N#CC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.09,C[NH+]1C=CN=C1.F[B-](F)(F)F,C[NH+]1C=CN=C1,F[B-](F)(F)F
4.3,CC(O)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,C[N+]1(Cc2ccccc2)CCOCC1,CC(O)C(=O)[O-]
2.08,CCn1cc[n+](CC)c1.[Br-],CCn1cc[n+](CC)c1,[Br-]
3.99,CCn1cc[n+](C)c1.O=S(=O)([O-])O,CCn1cc[n+](C)c1,O=S(=O)([O-])O
1.99,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
3.3922258405,CCCC(=O)[O-].OCC[NH+](CCO)CCO,OCC[NH+](CCO)CCO,CCCC(=O)[O-]
3.65,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.81,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[Cl-]
3.425,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
3.78,CC(=O)CCn1cc[n+](C)c1.[Br-],CC(=O)CCn1cc[n+](C)c1,[Br-]
3.975,C[N+]1(CC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.64,CCCC[n+]1ccc(C)cc1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[n+]1ccc(C)cc1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
1.36,CCCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCCC[n+]1ccn(C)c1,[Cl-]
4.6,CC(O)C(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO,CC(O)C(=O)[O-]
2.85,CCCCCC[n+]1ccccc1.[Br-],CCCCCC[n+]1ccccc1,[Br-]
3.27,COCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.373333333333333,CCCCCCCC[N+]1(C)CCCC1.[Cl-],CCCCCCCC[N+]1(C)CCCC1,[Cl-]
2.92,CC[N+](C)(C)CCCOC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CCCOC,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
0.07,CCCCCCCCC=CCCCCCCCC1=[N+](CCO)CCN1CC.CCOS(=O)(=O)[O-],CCCCCCCCC=CCCCCCCCC1=[N+](CCO)CCN1CC,CCOS(=O)(=O)[O-]
3.98,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F
3.3412113405,COC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COC(C)Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.26,CCOC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.66,CCCC[n+]1cccc(C)c1.N#CN=C=[N-],CCCC[n+]1cccc(C)c1,N#CN=C=[N-]
2.8312544565,CCn1cc[n+](C)c1.O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCn1cc[n+](C)c1,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
0.97,CCCCCCCC[n+]1cc(C)cc(C)c1.F[B-](F)(F)F,CCCCCCCC[n+]1cc(C)cc(C)c1,F[B-](F)(F)F
1.53,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
3.3,C[n+]1ccn(Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,C[n+]1ccn(Cc2ccccc2)c1,F[P-](F)(F)(F)(F)F
2.6618504625000003,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[P-](F)(F)(F)(F)F,Cc1ccc(Cn2cc[n+](C)c2)cc1,F[P-](F)(F)(F)(F)F
-0.128427064,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.6,CC1=CC(=O)N=S(=O)([O-])O1.CCCCCCCCCCCOC[n+]1cccc(O)c1,CCCCCCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)N=S(=O)([O-])O1
2.3,CCOC[N+](C)(C)CC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOC[N+](C)(C)CC,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
4.39,COCCn1cc[n+](C)c1.[Cl-],COCCn1cc[n+](C)c1,[Cl-]
2.16,CCCC[n+]1cccc2ccccc21.[Cl-],CCCC[n+]1cccc2ccccc21,[Cl-]
3.5,CC1=CC(=O)N=S(=O)([O-])O1.CCCOC[n+]1cccc(O)c1,CCCOC[n+]1cccc(O)c1,CC1=CC(=O)N=S(=O)([O-])O1
3.36,CCOC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.6,CCCn1cc[n+](CC)c1.[Br-],CCCn1cc[n+](CC)c1,[Br-]
3.805,C[N+]1(CC#N)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.4,CCCCCCCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCCCCCCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.88,CCOC[N+]1(C)CCOCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCOCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
1.61,CCCC[N+](CCCC)(CCCC)CCCC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CCCC[N+](CCCC)(CCCC)CCCC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
2.48,CCCC[n+]1cc(C)cc(C)c1C.[Br-],CCCC[n+]1cc(C)cc(C)c1C,[Br-]
0.23,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.83,C[n+]1cc[nH]c1.O=C[O-],C[n+]1cc[nH]c1,O=C[O-]
2.61,C[N+]1(CCO)CCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.9433333333333334,CCCCCC[N+]1(C)CCCC1.[Cl-],CCCCCC[N+]1(C)CCCC1,[Cl-]
2.29,C[n+]1ccn(CCCO)c1.N#CN=C=[N-],C[n+]1ccn(CCCO)c1,N#CN=C=[N-]
3.5109416805,CCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],CCCCn1cc[n+](C)c1,CS(=O)(=O)[O-]
3.76,C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.34,CCC[N+](C)(C)CC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCC[N+](C)(C)CC,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.69,CCCC[n+]1cc(C)cc(C)c1.[Br-],CCCC[n+]1cc(C)cc(C)c1,[Br-]
2.53,CCCCCCC[NH+]1C=CN(C)C1.[Cl-],CCCCCCC[NH+]1C=CN(C)C1,[Cl-]
3.72,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.9,CCCCCCn1cc[n+](C)c1C.F[B-](F)(F)F,CCCCCCn1cc[n+](C)c1C,F[B-](F)(F)F
4.0311078515,CC(=O)[O-].OCC[NH2+]CCO,OCC[NH2+]CCO,CC(=O)[O-]
3.19,COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.865,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.66,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],CCCC[P+](CCCC)(CCCC)CCCC,[Br-]
1.58,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.15,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
3.4,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCOC[n+]1cccc(O)c1,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1
4.4903303265000005,O=C[O-].[NH3+]CCCO,[NH3+]CCCO,O=C[O-]
2.03,C[N+](C)(C)C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C[N+](C)(C)C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
3.34,COCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.64,C[N+]1(Cc2ccccc2)CCOCC1.O=S(=O)([O-])O,C[N+]1(Cc2ccccc2)CCOCC1,O=S(=O)([O-])O
1.49,CCCCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,CCCCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F
1.6,CCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCC[n+]1ccn(C)c1,[Cl-]
2.665,C[N+]1(CCCO)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,C[N+]1(CCCO)CCCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.842238588,CCOC(=O)C[N+]1(C)CCCC1.[Br-],CCOC(=O)C[N+]1(C)CCCC1,[Br-]
3.12,CCOC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
